Alchemical onyx necklace,44546
Alchemical onyx ring,39810
Amulet of accuracy,1478
Amulet of bountiful harvest,39361
Amulet of defence,1729
Amulet of farming (1),12608
Amulet of fury,6585
Amulet of fury (t),33502
Amulet of glory,1704
Amulet of glory (4),1712
Amulet of glory (t),10362
Amulet of glory (t4),10354
Amulet of magic,1727
Amulet of magic (t),10366
Amulet of power,1731
Amulet of ranging,15126
Amulet of souls,31875
Amulet of strength,1725
Amulet of the forsaken,39061
Archers' ring,6733
Berserker necklace,11128
Berserker ring,6737
Binding necklace,5521
Botanist's amulet,39373
Bracelet of clay,11074
Brass necklace,1009
Castle wars brace (1),11083
Castle wars brace (3),11079
Clay ring,20053
Columbarium ring,39376
Combat bracelet,11126
Combat bracelet (4),11118
Deathtouch bracelet,31878
Diamond amulet,1700
Diamond bracelet,11092
Diamond necklace,1662
Diamond ring,1643
Dragonstone amulet,1683
Dragonstone bracelet,11115
Dragonstone necklace,1664
Dragonstone ring,1645
Emerald amulet,1677
Emerald bracelet,11076
Emerald necklace,1658
Emerald ring,1639
Enlightened amulet,39385
Evening masquerade mask,41984
Featherfingered necklace,39358
Flamtaer bracelet,39367
Forinthry bracelet (1),11103
Forinthry bracelet (5),11095
Games necklace (1),3867
Games necklace (8),3853
Gold amulet,1673
Gold bracelet,11069
Gold necklace,1654
Gold ring,1635
Grace of the elves,44548
Hazelmere's signet ring,39814
Headhunter's sacrifice,39355
Headhunter's thrill,39379
Holy symbol,1718
Hydrix amulet,31863
Hydrix bracelet,31865
Hydrix necklace,31859
Hydrix ring,31857
Ingenuity of the humans,44551
Inoculation brace,11088
Jade amulet,39338
Jade bracelet,39334
Jade necklace,39336
Jade ring,39332
Leviathan ring,30576
Luck of the dwarves,39812
Necklace of gluttony,39382
Onyx amulet,6581
Onyx bracelet,11130
Onyx necklace,6577
Onyx ring,6575
Opal amulet,39328
Opal bracelet,39324
Opal necklace,39326
Opal ring,39322
Passage of the abyss (unattuned),44540
Phoenix necklace,11090
Pre-nature amulet,6041
Reaper necklace,31872
Regen bracelet,11133
Ring of death,31869
Ring of duelling (1),2566
Ring of duelling (8),2552
Ring of forging,2568
Ring of fortune,39808
Ring of life,2570
Ring of luck,39818
Ring of metamorphosis,39352
Ring of recoil,2550
Ring of respawn,39364
Ring of stone,6583
Ring of wealth,2572
Ring of wealth (4),20659
Ruby amulet,1679
Ruby bracelet,11085
Ruby necklace,1660
Ruby ring,1641
Sapphire amulet,1675
Sapphire bracelet,11072
Sapphire necklace,1656
Sapphire ring,1637
Saradomin's hiss,25031
Saradomin's murmur,25034
Saradomin's whisper,25028
Seers' ring,6731
Skills necklace,11113
Skills necklace (4),11105
Strength amulet (t),10364
Strung rabbit foot,10132
Topaz amulet,39348
Topaz bracelet,39344
Topaz necklace,39346
Topaz ring,39342
Traveller's necklace,39370
Tuxedo cravat,41974
Unblessed symbol,1716
Unholy symbol,1724
Unpowered symbol,1722
Unstrung emblem,1720
Unstrung symbol,1714
Warrior ring,6735
